Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime (in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Lenght, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent
17,28,274,401,1926,1015,911,85,51,34,2150,73,60.866032,39.157246,8.214568,0.811337,4.329477,1.821927,0,0.000000,0,0.000000,19,0.069343,267,0.974453
17,58,279,401,1975,1048,927,49,33,16,2204,54,68.236198,38.260498,8.183994,0.817305,4.395447,1.807210,0,0.000000,0,0.000000,12,0.043011,272,0.974910
18,28,292,401,2024,1068,956,49,20,29,2266,62,72.258835,41.850910,8.253130,0.806880,4.267889,1.710632,0,0.000000,0,0.000000,12,0.041096,286,0.979452
18,58,329,401,2069,1076,993,45,8,37,2348,82,74.320930,47.519028,8.275442,0.807648,4.175209,1.756788,0,0.000000,0,0.000000,14,0.042553,319,0.969605
19,28,361,401,2108,1081,1027,39,5,34,2419,71,80.593529,50.591618,8.262748,0.795749,4.210967,1.732749,0,0.000000,0,0.000000,18,0.049861,351,0.972299
19,58,399,401,2136,1092,1044,28,11,17,2485,66,90.652168,56.712257,8.233331,0.806519,4.230055,1.672545,0,0.000000,0,0.000000,20,0.050125,390,0.977444
20,28,406,409,2195,1125,1070,59,33,26,2551,66,94.679573,60.146324,8.151532,0.819741,4.349385,1.599474,0,0.000000,0,0.000000,20,0.049261,398,0.980296
20,58,363,409,2309,1221,1088,114,96,18,2622,71,90.591949,64.249161,8.021203,0.830910,4.604802,1.563114,1,0.002755,0,0.000000,12,0.033058,356,0.980716
21,28,284,409,2447,1315,1132,138,94,44,2681,59,71.427559,50.215038,7.986976,0.851069,4.609961,1.623764,1,0.003521,0,0.000000,14,0.049296,279,0.982394
21,58,285,409,2531,1377,1154,84,62,22,2766,85,58.651009,37.221977,7.996164,0.845825,4.701006,1.653243,1,0.003509,0,0.000000,18,0.063158,279,0.978947
22,28,331,409,2570,1404,1166,39,27,12,2851,85,64.084854,41.226757,8.035370,0.820430,4.727936,1.631632,1,0.003021,0,0.000000,24,0.072508,326,0.984894
