Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.954686,1.577037,5.151064,1.419729,0,0.000000,0,0.000000,19,0.380000,17,0.340000,350001.218750,0.003786
0,30,52,52,0,0,0,0,0,0,0,0,2,2,29.011566,5.028211,4.914300,1.567999,5.194865,1.409572,0,0.000000,0,0.000000,20,0.384615,19,0.365385,348760.031250,0.000000
1,0,58,58,1,1,0,0,1,1,0,0,9,7,53.206841,16.594370,4.853434,1.490827,5.121974,1.453608,0,0.000000,0,0.000000,23,0.396552,23,0.396552,348697.250000,0.000000
1,30,53,58,12,9,3,3,11,8,3,3,15,6,76.433174,26.913351,5.120544,1.384480,5.205238,1.506161,0,0.000000,0,0.000000,19,0.358491,21,0.396226,348682.875000,0.000007
2,0,45,58,25,22,3,3,13,13,0,0,20,5,92.277733,39.331528,5.366542,1.460785,5.414893,1.595887,0,0.000000,0,0.000000,18,0.400000,21,0.466667,348984.937500,0.000000
2,30,42,58,36,32,4,3,11,10,1,0,28,8,97.667122,53.090755,5.272549,1.574745,5.484423,1.695511,0,0.000000,0,0.000000,18,0.428571,21,0.500000,349036.593750,0.000000
3,0,33,58,50,45,5,4,14,13,1,1,33,5,96.107346,61.002327,5.176861,1.726237,5.524662,1.930215,0,0.000000,0,0.000000,13,0.393939,20,0.606061,349215.406250,0.000000
3,30,22,58,67,53,14,12,17,8,9,8,39,6,105.843452,69.659653,5.838697,1.819381,5.893376,1.888939,0,0.000000,0,0.000000,10,0.454545,13,0.590909,348264.218750,0.000000
4,0,23,58,73,56,17,13,6,3,3,1,46,7,96.137215,84.735474,5.620097,1.825628,5.322618,1.667378,0,0.000000,0,0.000000,9,0.391304,16,0.695652,348817.656250,0.000087
4,30,22,58,83,57,26,16,10,1,9,3,55,9,79.755783,76.065376,5.564628,2.126820,4.703820,1.135953,0,0.000000,0,0.000000,4,0.181818,18,0.818182,349114.343750,0.000071
5,0,25,58,87,58,29,19,4,1,3,3,62,7,78.412521,69.172722,5.466011,2.249002,4.789362,0.907595,0,0.000000,0,0.000000,5,0.200000,21,0.840000,348897.500000,0.000000
5,30,31,58,92,60,32,21,5,2,3,2,73,11,79.672691,75.581284,5.215623,2.160266,4.642245,0.896268,0,0.000000,0,0.000000,4,0.129032,26,0.838710,348769.281250,0.000000
6,0,38,58,96,62,34,21,4,2,2,0,84,11,80.472351,80.644775,4.762452,1.981332,4.410695,0.891412,0,0.000000,0,0.000000,3,0.078947,33,0.868421,348669.656250,0.000000
6,30,47,58,100,64,36,22,4,2,2,1,97,13,84.742363,85.168404,4.628725,1.931693,4.366796,0.888467,0,0.000000,0,0.000000,4,0.085106,42,0.893617,348414.187500,0.000000
