Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.187968,1.209905,4.997341,1.471668,0,0.000000,0,0.000000,16,0.320000,13,0.260000,130764.312500,0.597988
0,30,44,50,10,0,10,3,10,0,10,3,4,4,28.202217,6.669412,5.113431,1.137724,4.810204,1.402710,0,0.000000,0,0.000000,8,0.181818,13,0.295455,244456.453125,0.105051
1,0,45,50,20,0,20,6,10,0,10,3,15,11,50.498600,19.389381,5.140692,1.240746,4.652483,1.292982,0,0.000000,0,0.000000,5,0.111111,12,0.266667,176728.062500,0.174298
1,30,31,50,50,0,50,16,30,0,30,10,31,16,64.010620,35.642906,4.958270,1.343741,4.147221,1.045177,0,0.000000,0,0.000000,4,0.129032,1,0.032258,132628.531250,0.453662
2,0,4,50,84,0,84,37,34,0,34,21,38,7,101.515999,32.019844,4.312766,1.399943,3.091756,1.151073,0,0.000000,0,0.000000,0,0.000000,0,0.000000,121535.648438,0.702167
