Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.114244,1.452719,4.476064,1.526394,0,0.000000,0,0.000000,15,0.300000,19,0.380000,0.000000,0.000000
0,29,53,53,0,0,0,0,0,0,0,0,3,3,28.020634,5.973710,5.084775,1.455933,4.507728,1.514329,0,0.000000,0,0.000000,16,0.301887,22,0.415094,301099.906250,0.000000
0,59,68,68,2,0,2,2,2,0,2,2,20,17,46.205963,21.385273,4.908285,1.418794,4.687500,1.509303,0,0.000000,0,0.000000,20,0.294118,32,0.470588,347071.843750,0.000000
1,29,80,80,7,3,4,4,5,3,2,2,37,17,64.327522,30.735596,5.043088,1.356889,4.693152,1.450596,0,0.000000,0,0.000000,22,0.275000,35,0.437500,348402.437500,0.000000
1,59,86,86,14,10,4,4,7,7,0,0,50,13,80.891823,39.952312,5.086127,1.315130,4.824964,1.449081,0,0.000000,0,0.000000,28,0.325581,41,0.476744,348399.281250,0.000000
2,29,70,86,39,29,10,9,25,19,6,5,59,9,95.450157,49.067741,5.388903,1.293953,4.757220,1.455494,0,0.000000,0,0.000000,22,0.314286,35,0.500000,348372.187500,0.000000
2,59,69,86,52,41,11,10,13,12,1,1,71,12,100.907021,60.542278,5.515922,1.321557,4.765648,1.461853,0,0.000000,0,0.000000,23,0.333333,35,0.507246,348798.281250,0.000000
3,29,52,86,74,58,16,13,22,17,5,3,76,5,109.224167,64.036064,5.738119,1.381113,4.677782,1.383556,0,0.000000,0,0.000000,17,0.326923,25,0.480769,349155.687500,0.000000
3,59,41,86,88,69,19,14,14,11,3,1,79,3,119.635422,63.789154,6.001082,1.355299,4.944862,1.241495,0,0.000000,0,0.000000,13,0.317073,18,0.439024,349467.906250,0.001018
4,29,39,86,95,73,22,14,7,4,3,0,84,5,124.026527,70.449066,5.908080,1.324535,4.985679,1.239397,0,0.000000,0,0.000000,14,0.358974,19,0.487179,349471.562500,0.000000
4,59,32,86,106,83,23,15,11,10,1,1,88,4,120.553047,75.041809,6.062874,1.401134,5.064827,1.317680,0,0.000000,0,0.000000,12,0.375000,15,0.468750,349508.343750,0.000000
5,29,30,86,111,86,25,15,5,3,2,0,91,3,128.138138,75.896835,6.065453,1.358146,5.009752,1.297834,0,0.000000,0,0.000000,13,0.433333,14,0.466667,349611.656250,0.000000
5,59,25,86,120,90,30,17,9,4,5,2,95,4,130.119781,88.526558,6.339107,1.157972,4.910638,1.151492,0,0.000000,0,0.000000,12,0.480000,11,0.440000,349657.406250,0.000000
6,29,20,86,126,92,34,20,6,2,4,3,96,1,154.727600,93.486115,6.194029,1.168386,4.933511,1.156089,0,0.000000,0,0.000000,11,0.550000,9,0.450000,349733.812500,0.000000
6,59,18,86,130,94,36,20,4,2,2,0,98,2,164.984894,109.830383,6.056383,1.247252,4.934988,1.215581,0,0.000000,0,0.000000,11,0.611111,10,0.555556,349670.000000,0.000000
7,29,15,86,133,96,37,20,3,2,1,0,98,0,182.860794,114.258682,6.089149,1.355370,4.984042,1.300703,0,0.000000,0,0.000000,9,0.600000,10,0.666667,349664.531250,0.000000
7,59,12,86,140,101,39,21,7,5,2,1,102,4,102.416664,79.657112,5.734574,1.310949,4.917997,1.450930,0,0.000000,0,0.000000,5,0.416667,9,0.750000,349750.125000,0.000000
8,29,8,86,146,102,44,24,6,1,5,3,104,2,143.556610,75.669540,6.445478,1.452620,5.152925,1.554245,0,0.000000,0,0.000000,3,0.375000,5,0.625000,349746.093750,0.000000
8,59,11,86,148,103,45,24,2,1,1,0,109,5,112.979271,97.973076,6.287500,1.565199,4.958898,1.672492,0,0.000000,0,0.000000,4,0.363636,9,0.818182,349681.875000,0.000002
9,29,8,86,152,103,49,24,4,0,4,0,110,1,124.897758,88.622543,6.333577,1.535207,4.611037,1.506065,0,0.000000,0,0.000000,3,0.375000,7,0.875000,340747.406250,0.048252
9,59,2,86,161,104,57,25,9,1,8,1,113,3,104.982506,81.214508,5.563431,0.724069,3.763298,0.332447,0,0.000000,0,0.000000,1,0.500000,2,1.000000,330688.125000,0.182209
