Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.130042,1.450396,4.860106,1.605060,1,0.020000,0,0.000000,15,0.300000,14,0.280000,82767.140625,0.834896
0,30,45,50,8,0,8,5,8,0,8,5,3,3,28.435038,5.958973,5.037127,1.484772,4.664894,1.595699,1,0.022222,0,0.000000,7,0.155556,15,0.333333,249282.953125,0.087944
1,0,48,50,18,0,18,9,10,0,10,4,16,13,49.334259,21.550709,4.917802,1.522557,4.491356,1.665331,0,0.000000,0,0.000000,6,0.125000,14,0.291667,187640.437500,0.160417
1,30,36,50,38,0,38,14,20,0,20,5,24,8,70.807770,30.677776,4.993683,1.638348,3.998227,1.250252,0,0.000000,0,0.000000,1,0.027778,7,0.194444,140336.078125,0.326577
2,0,17,50,70,0,70,24,32,0,32,10,37,13,68.830635,49.168736,4.480037,1.329096,2.999062,0.736790,0,0.000000,0,0.000000,2,0.117647,5,0.294118,119453.593750,0.614516
