Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.073697,1.377743,5.003191,1.484887,0,0.000000,0,0.000000,15,0.300000,12,0.240000,121401.117188,0.589851
0,30,43,50,7,0,7,4,7,0,7,4,0,0,30.000874,0.000386,4.967337,1.299623,4.896709,1.534355,0,0.000000,0,0.000000,8,0.186047,9,0.209302,247415.750000,0.094735
1,0,47,50,13,0,13,7,6,0,6,3,10,10,50.586296,19.643223,4.869052,1.345816,4.702353,1.526337,0,0.000000,0,0.000000,4,0.085106,11,0.234043,181575.203125,0.142504
1,30,41,53,45,0,45,30,32,0,32,23,36,26,56.735565,35.844944,4.658906,1.299614,3.932279,1.089572,0,0.000000,0,0.000000,0,0.000000,8,0.195122,132566.328125,0.460104
2,0,18,53,75,0,75,40,30,0,30,10,43,7,73.359108,45.590836,3.951462,1.198537,3.486998,0.828741,0,0.000000,0,0.000000,0,0.000000,2,0.111111,110044.468750,0.687543
