Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.130042,1.468890,5.308511,1.746302,1,0.020000,0,0.000000,11,0.220000,10,0.200000,107771.500000,0.732369
0,30,46,50,6,0,6,2,6,0,6,2,2,2,28.830687,5.502542,5.116396,1.508058,5.242253,1.778626,0,0.000000,0,0.000000,5,0.108696,11,0.239130,244505.750000,0.048468
1,0,60,60,11,0,11,4,5,0,5,2,21,19,44.600712,23.231266,4.723948,1.388141,5.209220,1.829757,0,0.000000,0,0.000000,3,0.050000,18,0.300000,173405.984375,0.112677
1,30,37,61,46,1,45,17,35,1,34,13,33,12,65.316841,30.021271,4.551868,1.431126,4.233037,1.446774,0,0.000000,0,0.000000,0,0.000000,9,0.243243,129895.351563,0.411139
2,0,8,61,86,1,85,33,40,0,40,16,44,11,70.574249,41.916023,3.875033,0.849104,1.742021,0.979449,0,0.000000,0,0.000000,0,0.000000,2,0.250000,118373.101563,0.625635
2,30,1,61,95,1,94,35,9,0,9,2,46,2,92.419998,0.000000,3.786170,0.000000,0.771277,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,121977.726563,0.587796
