Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.966270,1.333896,4.663298,1.351290,0,0.000000,0,0.000000,8,0.160000,13,0.260000,92520.906250,0.711119
0,30,48,50,4,0,4,1,4,0,4,1,2,2,29.006990,4.869111,5.009408,1.279661,4.659242,1.324342,0,0.000000,0,0.000000,6,0.125000,13,0.270833,245389.375000,0.025599
1,0,53,55,12,0,12,7,8,0,8,6,15,13,51.544662,18.797375,4.937228,1.302639,4.574970,1.277406,0,0.000000,0,0.000000,3,0.056604,14,0.264151,180838.656250,0.083603
1,30,50,62,40,0,40,21,28,0,28,14,40,25,66.497917,34.864273,4.766164,1.155926,4.005851,1.069042,0,0.000000,0,0.000000,3,0.060000,10,0.200000,127628.210938,0.371130
2,0,26,62,74,0,74,31,34,0,34,10,50,10,88.852898,41.016720,4.228714,0.992640,3.755114,0.960228,0,0.000000,0,0.000000,1,0.038462,2,0.076923,113016.773438,0.552242
2,30,6,62,99,0,99,42,25,0,25,11,55,5,88.525169,64.052429,4.242553,0.901472,2.717199,0.861447,0,0.000000,0,0.000000,0,0.000000,0,0.000000,115937.148438,0.559136
