Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.664532,1.552286,4.972340,1.392581,0,0.000000,0,0.000000,14,0.280000,14,0.280000,124121.773438,0.371682
0,30,45,50,7,0,7,3,7,0,7,3,2,2,29.640633,2.389725,4.730532,1.480220,4.838062,1.376688,0,0.000000,0,0.000000,9,0.200000,12,0.266667,250140.156250,0.037193
1,0,49,51,18,0,18,7,11,0,11,4,17,15,48.627625,19.626144,4.796910,1.390047,4.745441,1.279352,0,0.000000,0,0.000000,3,0.061224,15,0.306122,187540.156250,0.097231
1,30,39,51,44,1,43,14,26,1,25,7,33,16,59.794510,36.173889,4.493698,1.147599,4.405346,1.136825,0,0.000000,0,0.000000,2,0.051282,7,0.179487,142963.765625,0.366532
2,0,7,51,82,1,81,31,38,0,38,17,39,6,80.042000,39.084164,3.789932,0.719617,3.195289,0.511861,0,0.000000,0,0.000000,0,0.000000,0,0.000000,154407.187500,0.389009
2,30,6,51,87,1,86,33,5,0,5,2,43,4,83.193001,58.307434,3.658909,0.695694,3.027482,0.329479,0,0.000000,0,0.000000,0,0.000000,0,0.000000,206325.062500,0.122481
3,0,2,51,92,1,91,33,5,0,5,0,44,1,159.600998,20.403000,2.969947,0.000000,3.271277,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,202569.828125,0.138710
