Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.962584,1.378177,4.925000,1.579838,0,0.000000,0,0.000000,9,0.180000,15,0.300000,108549.625000,0.794875
0,30,47,50,4,0,4,3,4,0,4,3,1,1,29.504030,3.369940,4.921151,1.414343,4.728384,1.482271,0,0.000000,0,0.000000,5,0.106383,15,0.319149,248076.203125,0.043379
1,0,63,63,9,0,9,6,5,0,5,3,22,21,43.700855,23.583353,4.818882,1.491700,4.672830,1.480285,0,0.000000,0,0.000000,6,0.095238,21,0.333333,177402.234375,0.075706
1,30,61,65,28,0,28,15,19,0,19,9,39,17,62.328228,32.812351,4.809146,1.391044,4.391349,1.339675,0,0.000000,0,0.000000,3,0.049180,21,0.344262,122295.242188,0.267611
2,0,10,65,90,1,89,45,62,1,61,30,50,11,84.917892,45.752197,3.272739,0.648937,4.103723,0.641729,0,0.000000,0,0.000000,0,0.000000,4,0.400000,97044.218750,0.763107
