Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.805659,1.477428,5.108511,1.466879,0,0.000000,0,0.000000,13,0.260000,14,0.280000,146999.687500,0.511343
0,30,59,59,4,0,4,2,4,0,4,2,13,13,24.597910,10.471412,4.616228,1.264967,4.922919,1.488175,0,0.000000,0,0.000000,10,0.169492,20,0.338983,183222.171875,0.059056
1,0,51,65,42,0,42,26,38,0,38,24,43,30,41.391922,22.564978,4.877048,1.416581,4.255320,1.298698,0,0.000000,0,0.000000,8,0.156863,11,0.215686,126237.109375,0.302262
1,30,6,65,99,0,99,57,57,0,57,31,55,12,59.188671,32.988708,4.018750,1.074309,2.965425,0.624245,0,0.000000,0,0.000000,2,0.333333,1,0.166667,128352.851563,0.479662
2,0,2,65,106,0,106,59,7,0,7,2,58,3,93.304001,26.698997,3.733510,0.000000,2.765957,0.000000,0,0.000000,0,0.000000,2,1.000000,0,0.000000,129852.906250,0.457043
