Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.013665,1.432707,5.036702,1.517850,0,0.000000,0,0.000000,13,0.260000,13,0.260000,124834.468750,0.838705
0,30,49,50,13,0,13,4,13,0,13,4,12,12,24.765934,10.430086,5.017758,1.492496,4.582609,1.426440,0,0.000000,0,0.000000,4,0.081633,13,0.265306,189810.265625,0.098246
1,0,46,57,41,0,41,18,28,0,28,14,37,25,42.487125,22.339098,4.813031,1.549193,4.336841,1.203412,0,0.000000,0,0.000000,0,0.000000,7,0.152174,145761.859375,0.340859
1,30,2,57,95,0,95,44,54,0,54,26,47,10,50.002998,39.999001,2.943617,0.000000,1.755319,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,126658.070313,0.762310
2,0,2,57,97,0,97,44,2,0,2,0,49,2,21.654001,18.351000,2.943617,0.000000,1.755319,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,128978.835938,0.688638
