Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.987862,1.308882,4.619681,1.367934,0,0.000000,0,0.000000,8,0.160000,10,0.200000,138917.203125,0.661936
0,30,58,58,7,0,7,4,7,0,7,4,15,15,23.977543,10.544202,4.892476,1.384666,4.398844,1.272912,0,0.000000,0,0.000000,1,0.017241,15,0.258621,182954.125000,0.044634
1,0,70,75,34,0,34,16,27,0,27,12,54,39,39.194832,23.043083,4.831463,1.479292,4.043313,1.115890,0,0.000000,0,0.000000,1,0.014286,11,0.157143,128090.187500,0.246846
1,30,34,75,95,0,95,52,61,0,61,36,79,25,47.984089,32.191288,3.719570,1.218576,2.931008,0.778439,0,0.000000,0,0.000000,0,0.000000,0,0.000000,112190.382813,0.578236
2,0,1,75,135,0,135,71,40,0,40,19,86,7,120.002998,0.000000,4.997340,0.000000,2.393617,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,107540.929688,0.659017
