Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.962585,1.612178,5.041490,1.224701,0,0.000000,0,0.000000,15,0.300000,15,0.300000,94349.375000,0.904727
0,30,59,59,10,0,10,7,10,0,10,7,19,19,23.051840,11.191743,4.556874,1.587813,4.954922,1.240766,0,0.000000,0,0.000000,7,0.118644,18,0.305085,182325.171875,0.116580
1,0,49,66,51,0,51,31,41,0,41,24,50,31,40.016628,21.999413,4.181117,1.752602,4.560899,1.129450,0,0.000000,0,0.000000,3,0.061224,13,0.265306,134292.515625,0.462708
1,30,7,66,108,0,108,55,57,0,57,24,65,15,57.555573,29.155912,2.037120,0.930777,2.895137,0.575078,0,0.000000,0,0.000000,2,0.285714,1,0.142857,111815.578125,0.841620
2,0,2,66,117,0,117,60,9,0,9,5,69,4,65.900002,54.101002,1.943085,0.000000,2.101064,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,109963.062500,0.851120
