Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.038941,1.637612,4.738297,1.532528,0,0.000000,0,0.000000,14,0.280000,9,0.180000,124174.539063,0.788540
0,30,48,52,12,0,12,8,12,0,12,8,10,10,26.660723,8.317683,4.990757,1.567346,4.634862,1.529927,0,0.000000,0,0.000000,5,0.104167,12,0.250000,190086.609375,0.095312
1,0,45,55,39,0,39,20,27,0,27,12,34,24,43.624641,21.462399,4.696595,1.718075,4.221039,1.394700,0,0.000000,0,0.000000,0,0.000000,3,0.066667,144517.953125,0.299525
1,30,9,55,84,0,84,39,45,0,45,19,43,9,62.883553,35.235470,3.002127,0.636624,2.547282,1.178296,0,0.000000,0,0.000000,0,0.000000,0,0.000000,129678.023438,0.569883
2,0,5,55,91,0,91,44,7,0,7,5,46,3,76.534195,53.431721,2.922553,0.432130,2.106383,0.674379,0,0.000000,0,0.000000,0,0.000000,0,0.000000,133143.453125,0.473582
2,30,1,55,97,0,97,48,6,0,6,4,48,2,150.005005,0.000000,3.259574,0.000000,0.797872,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,135163.781250,0.433779
