Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.957318,1.433194,4.735638,1.477129,0,0.000000,0,0.000000,15,0.300000,13,0.260000,120289.273438,0.592082
0,30,48,52,14,0,14,7,14,0,14,7,12,12,25.469744,9.368864,4.745013,1.350892,4.415448,1.450662,0,0.000000,0,0.000000,3,0.062500,11,0.229167,190081.718750,0.116836
1,0,61,64,31,0,31,18,17,0,17,11,42,30,40.420792,22.279545,4.616206,1.269246,4.124957,1.240616,0,0.000000,0,0.000000,4,0.065574,8,0.131148,138961.093750,0.228730
1,30,15,64,97,0,97,51,66,0,66,33,62,20,57.950802,33.927025,4.030159,0.914796,2.808511,0.981898,0,0.000000,0,0.000000,5,0.333333,5,0.333333,129937.718750,0.438677
2,0,2,64,115,0,115,57,18,0,18,6,67,5,77.171501,42.832497,3.206915,0.000000,2.872340,0.000000,0,0.000000,0,0.000000,2,1.000000,2,1.000000,133131.718750,0.415950
