Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.813559,1.301805,4.761170,1.307997,0,0.000000,0,0.000000,13,0.260000,20,0.400000,145569.468750,0.485710
0,30,50,52,17,0,17,9,17,0,17,9,17,17,24.413773,9.918052,4.864638,1.334792,4.611170,1.340445,0,0.000000,0,0.000000,1,0.020000,23,0.460000,186648.515625,0.093577
1,0,47,64,50,0,50,24,33,0,33,15,47,30,43.079773,20.966234,4.723959,1.448780,4.225893,1.319953,0,0.000000,0,0.000000,1,0.021277,14,0.297872,130366.906250,0.365661
1,30,14,64,95,0,95,47,45,0,45,23,59,12,54.810574,33.757435,3.851995,1.208458,2.192249,1.302133,0,0.000000,0,0.000000,1,0.071429,5,0.357143,127431.000000,0.480903
2,0,1,64,112,0,112,54,17,0,17,7,63,4,54.370998,0.000000,3.180585,0.000000,0.771277,0.000000,0,0.000000,0,0.000000,0,0.000000,1,1.000000,122672.820313,0.562105
